date,level,slope,curvature,lambda,ns_fit_rmse
1993-04-30,8.03676463633647,-5.135541980315754,-4.073394624463961,1.765032972431368,0.00013047339885849534
1993-05-31,8.155457400970617,-5.277964208459472,-3.1117225602213834,2.101480957685399,0.0015292370780999813
1993-06-30,8.071888160622413,-5.065728363519404,0.00021717585039591995,3.844710252388803,0.013751477316511801
1993-07-31,7.8028714091069356,-4.818970776391406,-4.137275579838126e-05,3.8496004295913004,0.011815817427048798
1993-08-31,7.276187323577861,-4.285006083458786,-2.012621191325012,2.109237545952582,0.001974467414348962
1993-09-30,7.357259009242721,-4.422050414726876,-0.006513357861057799,4.250634726909238,0.0005985213771775855
1993-10-31,7.341587609239174,-4.357835618339906,0.00011953506153180443,4.434734393728364,0.004417942567268106
1993-11-30,7.435418042278916,-4.397777844800446,7.517195317275451e-06,3.4557329748678076,0.013811680232455728
1993-12-31,7.35092947497613,-4.317803930511538,2.4898567226779562e-05,3.20844374813002,0.01675160696629496
1994-01-31,7.413439922828961,-4.454465755773572,9.56352147028231e-06,3.337744314105044,0.021080390961074627
1994-02-28,7.44351648980966,-4.196416855760039,0.0006043814586170499,2.9699937575378006,0.029011983038846577
1994-03-31,7.621934071660419,-4.094276604497759,1.1360976550301168e-06,2.1957608706314056,0.04240020418507943
1994-04-30,7.748857415086296,-4.11516995582173,-0.00010746367297285986,1.4632448574251342,0.05298430012341702
1994-05-31,7.760782004768461,-3.691540715678365,-2.5115002644404606e-05,1.28201892824975,0.06703168961517487
1994-06-30,7.719166603478534,-3.5868105303295144,6.951505288488723e-05,1.398086320849367,0.0876078584291105
1994-07-31,7.898713664439645,-3.643452920679956,-1.4378384969170037e-05,1.329505475403369,0.07415205237758649
1994-08-31,7.857025110448199,-3.4526744951506627,1.7645254485785809e-06,1.3807539080888338,0.0822430996417986
1994-09-30,8.131576219924524,-3.457028308190292,3.937424785067192e-05,1.5185105664428982,0.07780865321721818
1994-10-31,8.220923208458803,-3.2764032832444956,-1.0708003105243418e-06,1.2393195542814341,0.07210318768146749
1994-11-30,8.258549700275838,-3.1461862458512355,5.45145932462384e-05,0.8640702826369862,0.06433460586172216
1994-12-31,7.868782248061615,-3.949111320327196,-1.993626073363696e-05,0.18243919240423692,0.042744163738778096
1995-01-31,7.846959328024204,-3.055688643486007,-1.8176035183592622e-05,0.26255248056602387,0.04100807548374516
1995-02-28,7.6903831373045755,-2.0017916952371007,4.8472552069787176e-05,0.7795324691144634,0.0750042463541053
1995-03-31,7.784214068156726,-1.8512943964685682,1.1536750051181357e-05,2.2886425139640103,0.08939393200734559
1995-04-30,7.649452829358946,-1.773553673343515,2.8595858256737577e-05,2.7879785156012398,0.07607641876708321
1995-05-31,7.447929490267994,-1.6655279692487455,-0.5183296116444822,3.87553936956205,0.045417570832761024
1995-06-30,7.289128649578936,-1.608641237733633,-2.0797354386393785,3.0495966897120375,0.014497437986012784
1995-07-31,7.3554263910290185,-1.8188432933429701,-1.2904478193153361,3.5523787286324504,0.035971636777831516
1995-08-31,7.387184449595393,-1.8546335187883476,-0.16860155422655063,4.357956495488301,0.04620087377094879
1995-09-30,7.156486981813726,-1.6631669906499267,-0.8128282282819719,3.889179098699155,0.042082952900620696
1995-10-31,6.959482538446885,-1.4446152511124017,-1.1083780095346265,3.8630379251707656,0.03353412195124561
1995-11-30,6.9593775246689535,-1.4562152734143514,-2.0175498169551176,3.0300254055892504,0.019097733356526213
1995-12-31,6.839838944024618,-1.538931742635864,-1.7818810264539529,3.757354704506726,0.027306362371316013
1996-01-31,6.679910120731523,-1.396338827793258,-2.6961276616284566,2.2571441332744584,0.026448795744524696
1996-02-29,6.94709403871226,-1.9002367054142555,-2.8498709267903326,2.1620523859417884,0.02520078564109995
1996-03-31,7.108466421737948,-2.066958735652458,-0.00013399781815743764,3.486395273350096,0.06478096858894657
1996-04-30,7.116368474445697,-2.119609210362596,0.00014934371891340268,1.932135424645003,0.09152876804716048
1996-05-31,7.198847753791756,-2.1910503035534203,7.531975288413946e-06,1.591849923734025,0.07886449230903733
1996-06-30,7.24654966368007,-2.2244401347964065,0.0001375989556497959,1.1776095645186635,0.07469031203813627
1996-07-31,7.183575330362055,-1.991476437014093,-1.6724603769012133e-06,1.3465835316634616,0.07546471065006309
1996-08-31,7.064188048682327,-1.9492152887357506,1.5435993393839983e-07,1.8364427097331228,0.07943723658942417
1996-09-30,7.253984250356335,-2.188901343346636,-6.601074654550865e-06,1.3998282650502967,0.09967923433150838
1996-10-31,7.133522429659567,-1.9838126084715746,1.9921150568385825e-06,2.5057120648079567,0.06635393270806425
1996-11-30,6.917486733340088,-1.6971275381270015,0.00016238654107248753,3.99906997067941,0.04896379750921626
1996-12-31,6.886367651574795,-1.6786697662256733,-3.996167113329974e-05,3.1359916179055465,0.059169571156867225
1997-01-31,7.062421911457009,-1.8274000060553746,1.074530172461203e-05,2.24754755946474,0.07013665043987576
1997-02-28,6.969455805445371,-1.7853033805452134,0.0002528506644553041,2.556102700067846,0.06852554186988637
1997-03-31,7.110230758417307,-1.7784687195150968,-1.4954501139124152e-05,1.7002158802297092,0.07235273789105409
1997-04-30,7.170887278392779,-1.8283073081811752,-7.542085029236368e-06,1.1249685965263234,0.0709089331425154
1997-05-31,7.012187055661482,-1.715403491004882,-1.9610636350780592e-06,1.314797985851524,0.07115758403283177
1997-06-30,6.867816707547619,-1.615332267298666,2.3276412030789098e-05,1.600856485549364,0.0777755120724727
1997-07-31,6.659488482187091,-1.3109429399353667,-2.3228494704236555e-06,2.5520760647119682,0.061619074041864653
1997-08-31,6.7454571520257804,-1.3376025170258914,1.740792928995894e-05,2.5473996312538048,0.05617874774959121
1997-09-30,6.640372237089121,-1.377599074801229,5.6887889734292934e-06,2.113651663388401,0.06772291314545031
1997-10-31,6.500029672413461,-1.20430250651985,4.540360466898281e-06,2.7373104059089237,0.06424187675491091
1997-11-30,6.3244567600900226,-0.8377078838755125,-0.12030128849967477,4.249696607931261,0.04701550497695944
1997-12-31,6.176066398333502,-0.6057883352261879,-0.3294297242019354,3.97209952301287,0.037283361839632025
1998-01-31,6.116622583935037,-0.7210602370003713,-1.28845476926286,2.650270176480169,0.029041666844277555
1998-02-28,6.167576840915173,-0.7352700163110903,-1.2189639943108403,2.636669204282426,0.03793638338020623
1998-03-31,6.162389897279177,-0.7313010372390574,-0.6099003757031349,3.3212397500233823,0.043577511811177645
1998-04-30,6.1612681093423225,-0.8110234082273385,-0.15646649792099923,4.977726948499024,0.04962886092460748
1998-05-31,6.1648162118365395,-0.7874758657356116,-0.06300823730961197,5.411423747429298,0.047063762380545396
1998-06-30,5.871786621879916,-0.6143599772295512,1.2390300894989652e-06,3.6323858086709304,0.08558401953331767
1998-07-31,5.8594174674034205,-0.5342091197119302,-0.23627508132641845,4.546672311927631,0.04517485251042169
1998-08-31,5.774294412445419,-0.5389511184323835,-0.6429456135818206,3.4205360401403055,0.044304812903263255
1998-09-30,5.822329583944186,-0.742733962346182,-2.5676515243090243,2.775377999754867,0.046410538899716476
1998-10-31,5.817976235448759,-1.2890429282208236,-2.9713121048192557,2.489571548758858,0.07711045566726539
1998-11-30,5.9469433098094715,-1.1898998551247333,-2.203375538261686,2.8308378723880594,0.052818423677544336
1998-12-31,5.835420020086539,-1.0723732826058345,-2.411352944749073,2.8698041814781594,0.05691463485555383
1999-01-31,5.799068780597258,-1.1818494151939545,-1.5644933140082762,3.0473101829126876,0.08092584694206209
1999-02-28,5.83310180090977,-1.1781538402978555,-0.6389686912484468,3.105097710821368,0.08559346298761131
1999-03-31,5.952271972730458,-1.2960470426053425,-0.054865705515655505,3.08921416400387,0.09025108555596562
1999-04-30,5.967113581346403,-1.4279368082686557,-0.028947577242353296,3.55265491354011,0.09907444219193
1999-05-31,6.076719467755389,-1.452152303568634,-3.861754373368049e-06,1.9946206454866535,0.09044320317136112
1999-06-30,6.236508702967311,-1.5421393730335233,0.0002512108698050703,1.0131758929868646,0.09432996215412023
1999-07-31,6.1583175605179115,-1.4353847922122072,-2.7843307274297014e-05,1.169752071127793,0.10122183707576374
1999-08-31,6.316082945100563,-1.4508749525371305,4.398221601221365e-05,1.1365126319104852,0.0934506565674855
1999-09-30,6.384925863301594,-1.4099887777383735,-7.036357973395411e-05,1.5339769275564836,0.11578278911882754
1999-10-31,6.50951668705587,-1.571578835818623,4.404722302219833e-06,1.0371720480272204,0.11685295179147343
1999-11-30,6.307260390822561,-1.1094792906790047,6.025122280877948e-05,1.0987267966785141,0.10910906903017893
1999-12-31,6.462528137261273,-1.2283408950942787,8.183532862884459e-06,0.6813098676175796,0.11900197802889949
2000-01-31,6.683126646929977,-1.5359664210096307,1.552855260347855e-05,0.3916461447666217,0.0828047186700599
2000-02-29,6.008212299071474,-0.493825668972117,3.041978277320063,1.8798905696670847,0.0821833624927036
2000-03-31,5.8998174646059605,-0.10926024420435798,2.2575916708649855,1.8671977149911234,0.07064866212010061
2000-04-30,5.906574881578221,-0.2400439751050541,1.8210871248088856,0.9048276332698865,0.06099354478818388
2000-05-31,6.232106163507068,-0.49152247625695195,2.6097323277464017,0.8318834696653505,0.0823935556429036
2000-06-30,6.044230782573909,-0.4481354374596789,2.1785110637775915,0.5824123035590519,0.04352972832992093
2000-07-31,5.968658423618387,0.061686502932269696,1.2399908983568,0.6727232543251609,0.045329422075808576
2000-08-31,5.805578147837789,0.38843712513588574,1.1383415779276786,0.5848408992849009,0.035301947471632
2000-09-30,5.923127812332981,0.4178179073188066,-0.5534667939411443,1.8036320590750872,0.0642702420394844
2000-10-31,5.991497121568043,0.4625570627944355,-1.4193976492246778,1.9621814191371187,0.06756425092694493
2000-11-30,5.931404523154146,0.6295482064341369,-1.5970478077979002,1.7384558404435404,0.0496578858522434
2000-12-31,5.756309720321558,0.5462245871350824,-2.683685831729316,1.7891119807845606,0.0382044259273865
2001-01-31,5.926358948828413,-0.3587645401729576,-3.2577476465115804,1.5475397017566883,0.030681350960967916
2001-02-28,5.904679391374837,-0.6504419948503143,-3.035747305349069,1.5022056871164393,0.02981711229578355
2001-03-31,5.880420181344003,-1.1147018107930093,-3.147572540504811,1.621763891330618,0.03119641552787099
2001-04-30,6.2421366715113535,-2.033788159470334,-3.034594191683735,1.6214347647527474,0.04558430021348613
2001-05-31,6.253439419529342,-2.36019866979767,-2.9487791609775456,1.1877652570804889,0.06150539328076892
2001-06-30,6.137249965673564,-2.384877359753199,-3.2770887790732828,1.0720961792243813,0.06269079559427602
2001-07-31,6.04684648861231,-2.155601383409503,-3.93538446063964,0.9445303128140679,0.07106750860246196
2001-08-31,5.9449333699998625,-2.2014597494693926,-4.2030398999165035,1.0375577009267893,0.06361203297613845
2001-09-30,6.160561592776592,-3.27879548180945,-4.525086805548262,1.3347026416655463,0.0659412735544992
2001-10-31,5.988242313036526,-3.5663648133440073,-5.1556877228907245,1.1987885715985485,0.07201573636740735
2001-11-30,5.814596194437043,-3.7706487291408837,-4.840739307489932,0.9858311720227491,0.08316723976239648
2001-12-31,6.204429795975739,-4.184874719050301,-6.082540481015202,0.7533571346090256,0.08947457430768663
2002-01-31,6.1400275720424435,-4.027109677247891,-6.443820671592182,0.7434577779803366,0.08379582205161294
2002-02-28,6.076917867825086,-4.121317182996509,-5.36855875725666,0.8491390789439861,0.08266493100490753
2002-03-31,6.328301545364995,-4.542253195783248,-3.956553972099261,0.8410331325755112,0.07923873262073829
2002-04-30,6.267008525049313,-4.467320661915902,-4.450668011417891,0.8230382452638133,0.07437812743510516
2002-05-31,6.257623117862796,-4.395859547466105,-4.859066290936202,0.8638383256204275,0.09031308670748618
2002-06-30,6.2344611913184735,-4.363897376346173,-4.944175743513798,1.0321128455348063,0.09816307366183062
2002-07-31,6.257496149418665,-4.127435273408335,-6.582301642640876,1.1097084545985436,0.10272084331197011
2002-08-31,6.072707381072608,-4.127137576417151,-6.348939417292817,1.3591843256020115,0.09069812710984802
2002-09-30,5.8634653784792405,-4.0618933101648445,-5.481673067552558,1.700186028447505,0.07983031297066205
2002-10-31,6.131436524570773,-4.439043984350973,-5.7363600967200465,1.7641292190106064,0.08370315761031263
2002-11-30,6.036515714406602,-4.426376636583663,-6.141169117459657,1.484431262293601,0.11971472314390919
2002-12-31,6.023094078458976,-4.678200401016915,-5.519317412622796,1.5788454155363103,0.08454196769779421
2003-01-31,6.052206264684051,-4.654230529472962,-6.0993092730425875,1.514687706134334,0.0795853843751933
2003-02-28,5.933195968795304,-4.5036109091097885,-6.317002932512742,1.538972273036036,0.07086030125628234
2003-03-31,5.9754060490026015,-4.616873420786097,-6.155673338940627,1.6753311228995247,0.06901741297270557
2003-04-30,6.028445106672906,-4.664551681593068,-6.225233636568182,1.5797717945905858,0.06625914699948371
2003-05-31,5.699975846680691,-4.419322718486016,-5.992391348634622,1.7877253919662923,0.05844918452277375
