,K4F1,K4F2
1992-03-31,0.07147087912840974,1.0798536327149535
1992-04-30,-0.2925516887260704,0.8239890263235122
1992-05-31,-0.4889850035389982,0.5529848760746225
1992-06-30,-0.5267511917814596,0.521819606682021
1992-07-31,-0.3011334313923575,1.1921636270430225
1992-08-31,-0.9112398781924744,-0.02160174730267087
1992-09-30,-0.6187767112324069,0.633498523395074
1992-10-31,-0.017880703720091425,1.1476659802261728
1992-11-30,-0.43020427631218433,0.7418665393522743
1992-12-31,-0.8115855043566932,0.3954687770885342
1993-01-31,-0.27759816161952156,0.8353889995893964
1993-02-28,-0.44812870414540823,0.6349687883978283
1993-03-31,-0.7403552945936015,0.08379068668953446
1993-04-30,-0.26754987956236304,0.7088580704619974
1993-05-31,-0.6228548468925148,0.12135584384512205
1993-06-30,-0.7734785767302539,0.20582122665643382
1993-07-31,-0.5876837143870811,0.31580219498251055
1993-08-31,-0.5641593346027541,0.11791825689860705
1993-09-30,-0.4263275135626269,0.4472003097057351
1993-10-31,0.1206908556494756,1.0572124048913825
1993-11-30,-0.1706981829746686,0.5883720632437407
1993-12-31,-0.23699308301502567,0.5616078219988345
1994-01-31,-0.7526535676509865,0.038573853655594896
1994-02-28,-0.263502624910396,0.2664154528823089
1994-03-31,0.12002745841835732,0.9197968688174242
1994-04-30,-0.34368732214138753,0.23972849267281052
1994-05-31,0.06523685318547355,0.21425337242388615
1994-06-30,0.31985037889129175,0.43958537867004477
1994-07-31,0.2625263325753072,0.15007928360423212
1994-08-31,0.6532103555943969,0.5845632939187321
1994-09-30,0.22653403740883782,-0.046397523864263664
1994-10-31,0.17633291464993203,0.0692414202654522
1994-11-30,0.6980364397718972,0.16626525560081926
1994-12-31,0.7512753408792667,0.257106671698278
1995-01-31,0.5678817964788316,-0.23924778208240677
1995-02-28,0.615238345544616,-0.5513004521542113
1995-03-31,0.5960408722797886,-0.46077390393296186
1995-04-30,0.742856847414855,-0.3072689817656977
1995-05-31,0.6474649355129637,-0.18026616766716566
